strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
6825.0,2026-07-08,0.9095330945019435,-0.0027397260273972603,0.0,0.05,0.5468795312500001,3280.0,1152.0,put
6850.0,2026-07-08,0.9128647175587272,-0.0027397260273972603,0.0,0.05,0.5273484765625001,527.0,12.0,put
6875.0,2026-07-08,0.9161963406155108,-0.0027397260273972603,0.0,0.05,0.507817421875,1113.0,1001.0,put
6890.0,2026-07-08,0.918195314449581,-0.0027397260273972603,0.0,0.05,0.523442265625,54.0,2.0,put
6900.0,2026-07-08,0.9195279636722945,-0.0027397260273972603,0.0,0.05,0.51562984375,680.0,58.0,put
6920.0,2026-07-08,0.9221932621177215,-0.0027397260273972603,0.0,0.05,0.499028447265625,26.0,2.0,put
6925.0,2026-07-08,0.9228595867290782,-0.0027397260273972603,0.0,0.05,0.49414568359375005,1036.0,7.0,put
6930.0,2026-07-08,0.9235259113404349,-0.0027397260273972603,0.0,0.05,0.49023947265625006,155.0,80.0,put
6940.0,2026-07-08,0.9248585605631484,-0.0027397260273972603,0.0,0.05,0.48242705078125003,795.0,558.0,put
6950.0,2026-07-08,0.9261912097858619,-0.0027397260273972603,0.0,0.05,0.47461462890625,726.0,519.0,put
6960.0,2026-07-08,0.9275238590085754,-0.0027397260273972603,0.0,0.05,0.46680220703125,62.0,44.0,put
6970.0,2026-07-08,0.9288565082312888,-0.0027397260273972603,0.0,0.05,0.4580132324218751,240.0,89.0,put
6975.0,2026-07-08,0.9295228328426456,-0.0027397260273972603,0.0,0.05,0.45313046875,771.0,533.0,put
6980.0,2026-07-08,0.9301891574540023,-0.0027397260273972603,0.0,0.05,0.44922425781249997,89.0,50.0,put
6990.0,2026-07-08,0.9315218066767158,-0.0027397260273972603,0.0,0.05,0.4414118359375,111.0,46.0,put
7000.0,2026-07-08,0.9328544558994293,-0.0027397260273972603,0.0,0.05,0.4335994140625,3412.0,116.0,put
7010.0,2026-07-08,0.9341871051221426,-0.0027397260273972603,0.0,0.05,0.42578699218750005,51.0,16.0,put
7020.0,2026-07-08,0.9355197543448561,-0.0027397260273972603,0.0,0.05,0.41699801757812494,122.0,19.0,put
7025.0,2026-07-08,0.9361860789562129,-0.0027397260273972603,0.0,0.05,0.41309180664062495,1014.0,12.0,put
