strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
7700.0,2026-07-08,1.0261399014893722,-0.0027397260273972603,0.0,0.05,0.174812939453125,1919.0,186.0,call
7705.0,2026-07-08,1.026806226100729,-0.0027397260273972603,0.0,0.05,0.178719150390625,79.0,29.0,call
7710.0,2026-07-08,1.0274725507120857,-0.0027397260273972603,0.0,0.05,0.18262536132812499,163.0,11.0,call
7720.0,2026-07-08,1.0288051999347991,-0.0027397260273972603,0.0,0.05,0.1909260595703125,177.0,49.0,call
7725.0,2026-07-08,1.0294715245461559,-0.0027397260273972603,0.0,0.05,0.1948322705078125,2056.0,90.0,call
7730.0,2026-07-08,1.0301378491575126,-0.0027397260273972603,0.0,0.05,0.19873848144531248,399.0,70.0,call
7735.0,2026-07-08,1.0308041737688693,-0.0027397260273972603,,0.05,0.20264469238281246,7.0,,call
7740.0,2026-07-08,1.031470498380226,-0.0027397260273972603,0.0,0.05,0.20655090332031245,2370.0,2370.0,call
7745.0,2026-07-08,1.0321368229915828,-0.0027397260273972603,,0.05,0.2104571142578125,12.0,,call
7750.0,2026-07-08,1.0328031476029396,-0.0027397260273972603,0.0,0.05,0.21436332519531248,779.0,31.0,call
7755.0,2026-07-08,1.0334694722142963,-0.0027397260273972603,,0.05,0.21778125976562498,8.0,,call
7760.0,2026-07-08,1.034135796825653,-0.0027397260273972603,,0.05,0.22168747070312497,10.0,,call
7770.0,2026-07-08,1.0354684460483665,-0.0027397260273972603,0.0,0.05,0.229499892578125,45.0,4.0,call
7775.0,2026-07-08,1.0361347706597233,-0.0027397260273972603,0.0,0.05,0.233406103515625,476.0,1.0,call
7780.0,2026-07-08,1.03680109527108,-0.0027397260273972603,0.0,0.05,0.23731231445312498,44.0,2.0,call
7800.0,2026-07-08,1.039466393716507,-0.0027397260273972603,0.0,0.05,0.252937158203125,5866.0,1.0,call
7810.0,2026-07-08,1.0407990429392204,-0.0027397260273972603,,0.05,0.2602613037109375,1.0,,call
7825.0,2026-07-08,1.0427980167732904,-0.0027397260273972603,0.0,0.05,0.27149166015625,482.0,27.0,call
7830.0,2026-07-08,1.0434643413846472,-0.0027397260273972603,,0.05,0.27539787109374997,43.0,,call
7850.0,2026-07-08,1.0461296398300741,-0.0027397260273972603,0.0,0.05,0.29004616210937495,252.0,1.0,call
7875.0,2026-07-08,1.0494612628868578,-0.0027397260273972603,0.0,0.05,0.3086006640625,363.0,1.0,call
7900.0,2026-07-08,1.0527928859436415,-0.0027397260273972603,0.0,0.05,0.327155166015625,187.0,19.0,call
7925.0,2026-07-08,1.0561245090004252,-0.0027397260273972603,0.0,0.05,0.34570966796874997,83.0,1.0,call
7950.0,2026-07-08,1.059456132057209,-0.0027397260273972603,0.0,0.05,0.3632876171875,209.0,1.0,call
7975.0,2026-07-08,1.0627877551139926,-0.0027397260273972603,0.0,0.05,0.38184211914062494,15.0,5.0,call
8000.0,2026-07-08,1.0661193781707763,-0.0027397260273972603,0.0,0.05,0.39942006835937505,122.0,15.0,call
8025.0,2026-07-08,1.06945100122756,-0.0027397260273972603,0.0,0.05,0.41797457031249996,12.0,2.0,call
8050.0,2026-07-08,1.0727826242843437,-0.0027397260273972603,0.0,0.05,0.43555251953125,7.0,1.0,call
8075.0,2026-07-08,1.0761142473411274,-0.0027397260273972603,0.0,0.05,0.45313046875,26.0,25.0,call
8100.0,2026-07-08,1.079445870397911,-0.0027397260273972603,0.0,0.05,0.47070841796875,65.0,25.0,call
8200.0,2026-07-08,1.0927723626250456,-0.0027397260273972603,0.0,0.05,0.5117236328125,120.0,1.0,call
8300.0,2026-07-08,1.1060988548521804,-0.0027397260273972603,0.0,0.05,0.5742230078125,7.0,4.0,call
8400.0,2026-07-08,1.1194253470793152,-0.0027397260273972603,0.0,0.05,0.6367223828125,9.0,1.0,call
8800.0,2026-07-08,1.1727313159878539,-0.0027397260273972603,0.0,0.05,0.8789074609374999,68.0,60.0,call
9000.0,2026-07-08,1.1993843004421234,-0.0027397260273972603,0.0,0.05,0.992187578125,37.0,10.0,call
9400.0,2026-07-08,1.252690269350662,-0.0027397260273972603,0.0,0.05,1.2109414453124998,6.0,,call
9600.0,2026-07-08,1.2793432538049314,-0.0027397260273972603,0.0,0.05,1.3125034374999998,3.0,1.0,call
9800.0,2026-07-08,1.305996238259201,-0.0027397260273972603,0.0,0.05,1.4140654296875002,1.0,,call
4400.0,2026-07-08,0.5863656579939269,-0.0027397260273972603,0.0,0.05,2.7812530468750003,263.0,50.0,put
4600.0,2026-07-08,0.6130186424481964,-0.0027397260273972603,0.0,0.05,2.56250359375,2181.0,7.0,put
4800.0,2026-07-08,0.6396716269024657,-0.0027397260273972603,0.0,0.05,2.3437541406249993,1011.0,5.0,put
5000.0,2026-07-08,0.6663246113567352,-0.0027397260273972603,0.0,0.05,2.1406296484375,1694.0,343.0,put
5200.0,2026-07-08,0.6929775958110046,-0.0027397260273972603,0.0,0.05,1.9453127734375002,998.0,3.0,put
5400.0,2026-07-08,0.7196305802652739,-0.0027397260273972603,0.0,0.05,1.7578137109375,1521.0,20.0,put
5600.0,2026-07-08,0.7462835647195434,-0.0027397260273972603,0.0,0.05,1.5703146484375,517.0,103.0,put
5800.0,2026-07-08,0.7729365491738128,-0.0027397260273972603,0.0,0.05,1.3906280468749999,507.0,270.0,put
5900.0,2026-07-08,0.7862630414009475,-0.0027397260273972603,0.0,0.05,1.3046909765624997,996.0,2.0,put
6000.0,2026-07-08,0.7995895336280822,-0.0027397260273972603,0.0,0.05,1.21875390625,1062.0,22.0,put
6100.0,2026-07-08,0.8129160258552169,-0.0027397260273972603,0.0,0.05,1.1328168359375002,14392.0,50.0,put
6200.0,2026-07-08,0.8262425180823516,-0.0027397260273972603,0.0,0.05,1.05078599609375,1891.0,32.0,put
6275.0,2026-07-08,0.8362373872527026,-0.0027397260273972603,0.0,0.05,0.992187578125,215.0,32.0,put
6300.0,2026-07-08,0.8395690103094863,-0.0027397260273972603,0.0,0.05,0.9687503125,518.0,95.0,put
6325.0,2026-07-08,0.84290063336627,-0.0027397260273972603,0.0,0.05,0.9492192578124999,51.0,31.0,put
6350.0,2026-07-08,0.8462322564230537,-0.0027397260273972603,0.0,0.05,0.929688203125,123.0,62.0,put
6375.0,2026-07-08,0.8495638794798374,-0.0027397260273972603,0.0,0.05,0.9062509375,490.0,21.0,put
6400.0,2026-07-08,0.852895502536621,-0.0027397260273972603,0.0,0.05,0.8867198828124999,274.0,90.0,put
6425.0,2026-07-08,0.8562271255934046,-0.0027397260273972603,0.0,0.05,0.867188828125,306.0,56.0,put
6450.0,2026-07-08,0.8595587486501883,-0.0027397260273972603,0.0,0.05,0.8476577734374999,330.0,1.0,put
6475.0,2026-07-08,0.862890371706972,-0.0027397260273972603,0.0,0.05,0.8281267187499999,448.0,12.0,put
